Date,Week,Month,Quarter,Year,Timestamp,Workout Type,Workout Name
2/14/25,2025-W07,2025-02,2025-Q1,2025,2/14/25 15:25,Strength,Full Body 1
2/1/25,2025-W05,2025-02,2025-Q1,2025,2/1/25 22:37,Mobility,Yoga
1/31/25,2025-W05,2025-01,2025-Q1,2025,1/31/25 17:27,Strength,Iron Block Legs
1/29/25,2025-W05,2025-01,2025-Q1,2025,1/29/25 20:12,Mobility,Yoga
1/28/25,2025-W05,2025-01,2025-Q1,2025,1/28/25 19:33,Strength,Liift More Arms
1/26/25,2025-W04,2025-01,2025-Q1,2025,1/26/25 18:12,Strength,Liift More Legs
1/24/25,2025-W04,2025-01,2025-Q1,2025,1/24/25 18:38,Strength,Liift More Shoulders
1/23/25,2025-W04,2025-01,2025-Q1,2025,1/23/25 20:54,Strength,Liift More Chest and Back
1/22/25,2025-W04,2025-01,2025-Q1,2025,1/22/25 23:16,Mobility,Yoga
1/21/25,2025-W04,2025-01,2025-Q1,2025,1/21/25 21:04,Strength,Liift More Legs
1/19/25,2025-W03,2025-01,2025-Q1,2025,1/19/25 20:27,Strength,Liift More Arms
1/18/25,2025-W03,2025-01,2025-Q1,2025,1/18/25 15:31,Strength,Liift More Legs
1/16/25,2025-W03,2025-01,2025-Q1,2025,1/16/25 18:39,Strength,Liift More Shoulders
1/15/25,2025-W03,2025-01,2025-Q1,2025,1/15/25 22:04,Strength,Liift More Chest and Back
1/14/25,2025-W03,2025-01,2025-Q1,2025,1/14/25 19:47,Strength,Liift More Legs
1/13/25,2025-W03,2025-01,2025-Q1,2025,1/13/25 23:33,Cardio,Walk
1/12/25,2025-W02,2025-01,2025-Q1,2025,1/12/25 21:19,Strength,Liift More Arms
1/10/25,2025-W02,2025-01,2025-Q1,2025,1/10/25 23:55,Mobility,Yoga
1/9/25,2025-W02,2025-01,2025-Q1,2025,1/9/25 20:32,Strength,Liift More Legs
1/8/25,2025-W02,2025-01,2025-Q1,2025,1/8/25 21:04,Cardio,Walk
1/6/25,2025-W02,2025-01,2025-Q1,2025,1/6/25 16:54,Strength,Liift More Shoulders
1/5/25,2025-W01,2025-01,2025-Q1,2025,1/5/25 22:33,Strength,Liift More Chest and Back
1/4/25,2025-W01,2025-01,2025-Q1,2025,1/4/25 19:56,Strength,Liift More Legs
1/3/25,2025-W01,2025-01,2025-Q1,2025,1/3/25 19:48,Strength,Full Body 3
1/1/25,2025-W01,2025-01,2025-Q1,2025,1/1/25 16:07,Cardio,Walk
12/30/24,2025-W01,2024-12,2024-Q4,2024,12/30/24 16:21,Strength,Liift More Arms
12/29/24,2024-W52,2024-12,2024-Q4,2024,12/29/24 16:47,Cardio,Fitness Test
12/27/24,2024-W52,2024-12,2024-Q4,2024,12/27/24 11:02,Strength,Liift More Legs
12/18/24,2024-W51,2024-12,2024-Q4,2024,12/18/24 16:00,Cardio,Walk
12/17/24,2024-W51,2024-12,2024-Q4,2024,12/17/24 23:01,Mobility,Yoga
12/13/24,2024-W50,2024-12,2024-Q4,2024,12/13/24 20:18,Strength,Full Body B
12/10/24,2024-W50,2024-12,2024-Q4,2024,12/10/24 19:32,Strength,Liift More Shoulders
12/3/24,2024-W49,2024-12,2024-Q4,2024,12/3/24 20:17,Strength,Full Body - A
12/1/24,2024-W48,2024-12,2024-Q4,2024,12/1/24 20:43,Strength,Liift More Chest and Back
11/21/24,2024-W47,2024-11,2024-Q4,2024,11/21/24 19:31,Strength,Liift More Legs
11/20/24,2024-W47,2024-11,2024-Q4,2024,11/20/24 20:52,Strength,Liift More Shoulders
11/19/24,2024-W47,2024-11,2024-Q4,2024,11/19/24 19:48,Strength,Legs
11/15/24,2024-W46,2024-11,2024-Q4,2024,11/15/24 16:18,Cardio,Ran
11/13/24,2024-W46,2024-11,2024-Q4,2024,11/13/24 19:14,Strength,Liift More Glutes and Hamstrings
11/12/24,2024-W46,2024-11,2024-Q4,2024,11/12/24 19:41,Strength,Liift More Back and Tris
11/9/24,2024-W45,2024-11,2024-Q4,2024,11/9/24 14:09,Strength,Pull
11/3/24,2024-W44,2024-11,2024-Q4,2024,11/3/24 14:48,Cardio,Walk
11/3/24,2024-W44,2024-11,2024-Q4,2024,11/3/24 13:52,Strength,LIIFT More Quads and Calves
10/29/24,2024-W44,2024-10,2024-Q4,2024,10/29/24 19:16,Mobility,Yoga
10/28/24,2024-W44,2024-10,2024-Q4,2024,10/28/24 18:41,Strength,Liift More Chest and Bis
10/24/24,2024-W43,2024-10,2024-Q4,2024,10/24/24 16:41,Strength,Liift More Chest and Bis
10/23/24,2024-W43,2024-10,2024-Q4,2024,10/23/24 18:11,Strength,LIIFT MORE Glutes and Hams
10/21/24,2024-W43,2024-10,2024-Q4,2024,10/21/24 17:33,Strength,LIIFT MORE Back and Tris
10/17/24,2024-W42,2024-10,2024-Q4,2024,10/17/24 20:32,Strength,Push
10/9/24,2024-W41,2024-10,2024-Q4,2024,10/9/24 20:23,Strength,LIIFT More Chest and Bis
10/6/24,2024-W40,2024-10,2024-Q4,2024,10/6/24 16:43,Cardio,Walk/Mow
10/5/24,2024-W40,2024-10,2024-Q4,2024,10/5/24 11:28,Strength,LIIFT Shoulders
10/4/24,2024-W40,2024-10,2024-Q4,2024,10/4/24 13:31,Cardio,Ran
9/29/24,2024-W39,2024-09,2024-Q3,2024,9/29/24 16:19,Cardio,Fitness Test
9/26/24,2024-W39,2024-09,2024-Q3,2024,9/26/24 20:41,Strength,Liift More Back and Tris
9/25/24,2024-W39,2024-09,2024-Q3,2024,9/25/24 19:52,Cardio,Hike & Mow
9/24/24,2024-W39,2024-09,2024-Q3,2024,9/24/24 17:19,Cardio,Volleyball
9/22/24,2024-W38,2024-09,2024-Q3,2024,9/22/24 15:52,Cardio,Walk
9/21/24,2024-W38,2024-09,2024-Q3,2024,9/21/24 13:21,Strength,Leg Day A
9/19/24,2024-W38,2024-09,2024-Q3,2024,9/19/24 20:11,Strength,Liift More Chest and Bis
9/17/24,2024-W38,2024-09,2024-Q3,2024,9/17/24 17:22,Cardio,Volleyball
9/16/24,2024-W38,2024-09,2024-Q3,2024,9/16/24 16:47,Cardio,Run/walk
9/15/24,2024-W37,2024-09,2024-Q3,2024,9/15/24 14:34,Strength,Liift More Shoulders
9/12/24,2024-W37,2024-09,2024-Q3,2024,9/12/24 18:01,Strength,Liift More Hamstrings and Glutes
9/11/24,2024-W37,2024-09,2024-Q3,2024,9/11/24 20:30,Strength,Liift More Back and Triceps
9/10/24,2024-W37,2024-09,2024-Q3,2024,9/10/24 17:20,Cardio,Volleyball
9/8/24,2024-W36,2024-09,2024-Q3,2024,9/8/24 12:38,Strength,Liift More Chest and Bis
9/7/24,2024-W36,2024-09,2024-Q3,2024,9/7/24 15:55,Cardio,Ran
